symbol,h,r2,lo,hi,beta,t,p,pred_move,half_spread,n_test,significant,tradeable
AAPL,1,0.0077243865302742964,0.0068970001174638255,0.00849629259350321,9.788603132219773e-07,32.508864731705145,7.99127511093027e-232,0.001037591932015296,0.0169,83608,True,False
AAPL,2,0.00560371938882831,0.005025513141969087,0.0062312449424356455,1.1993283416161827e-06,27.928556066088365,1.2010665332149636e-171,0.0012712880421131537,0.0169,83605,True,False
AAPL,3,0.004227480876762391,0.0035737958454949035,0.004802055574259714,1.3572134823938717e-06,23.563554220111097,9.116966758613487e-123,0.001438646291337504,0.0169,83602,True,False
AAPL,5,0.00302878082633129,0.002554133536864245,0.0035221629062488157,1.6477781326439752e-06,18.937060462515017,5.64627696490848e-80,0.0017466448206026137,0.0169,83596,True,False
AAPL,10,0.0015003900685776062,0.0011189185647454164,0.0018493759857765024,1.9213000389969362e-06,12.37390739823189,3.6178393871173025e-35,0.0020365780413367524,0.0169,83581,True,False
AAPL,20,0.0010264843285447967,0.0007189712696957202,0.0013328031212583523,2.218847812628824e-06,10.3160979002365,5.959621819302772e-25,0.0023519786813865537,0.0169,83551,True,False
AMZN,1,0.01496598304836061,0.012875452467519302,0.01784490440584967,6.674329431326909e-05,21.892941258511893,3.0329937327438357e-106,0.021491340768872647,0.2856,27595,True,False
AMZN,2,0.01682285547550555,0.014457709738024025,0.019513722978867633,9.378523562614346e-05,23.839824934482515,1.2912483636139898e-125,0.030198845871618193,0.2856,27592,True,False
AMZN,3,0.01611524993486002,0.013642700052910423,0.01870527851550725,0.00010873031658267254,23.907762756382528,2.5432052708344164e-126,0.035011161939620554,0.2856,27589,True,False
AMZN,5,0.012825032769806621,0.010449238494740934,0.015708650620294237,0.00012717247222273473,21.546953364468862,5.65475459531509e-103,0.04094953605572058,0.2856,27583,True,False
AMZN,10,0.0066097367601688495,0.0050080223717133944,0.008472082996874483,0.00013183704702344654,15.67374757853991,2.286883683641339e-55,0.042359243208633275,0.28569999999999995,27568,True,False
AMZN,20,0.0025459742492643933,0.0008925090767349209,0.004336804424178083,0.00014424831470377357,8.942447164938352,3.806458176451733e-19,0.046303709019911314,0.28570000000000007,27538,True,False
CSCO,1,0.033137724465458374,0.02960781490417553,0.036919177678275766,2.442568499764259e-07,40.49458565879986,0.0,0.0010503044548986313,0.005,46071,True,False
CSCO,2,0.027710198925433582,0.02467731877295859,0.030613481900951336,2.788086160178741e-07,38.04319360975769,1.11560413e-316,0.0011988770488768586,0.005,46068,True,False
CSCO,3,0.018850328743413636,0.016657385541707433,0.021120845750933634,2.5798687039293575e-07,32.04098256667039,2.931707912056989e-225,0.0011093435426896238,0.005,46065,True,False
CSCO,5,0.011834202089931245,0.010283613005303038,0.01345472471369517,2.60157632397012e-07,25.23676424306982,1.5826823589746272e-140,0.0011186778193071516,0.005,46059,True,False
CSCO,10,0.006492130564858645,0.005486448595959398,0.007418226221861093,2.82410486558127e-07,18.310061965530426,6.879145446676661e-75,0.0012143650921999463,0.005,46044,True,False
CSCO,20,0.0027595037921200882,0.002107607687353291,0.003379118515981835,2.4809766414468736e-07,12.06103364637292,1.6964036184966833e-33,0.0010668199558221557,0.005,46014,True,False
GOOGL,1,0.005296091692193361,0.0040944987126940394,0.006496724550367691,3.481915444132341e-05,18.15995223991314,1.0711784269428435e-73,0.0104109271779557,0.2674000000000001,61383,True,False
GOOGL,2,0.007216398353707576,0.0054302294264789944,0.00914245877138689,5.9796844511403945e-05,21.19399922430233,1.0848038780000857e-99,0.01787925650890978,0.2674000000000001,61380,True,False
GOOGL,3,0.007504741842958795,0.005507868794407919,0.009285516296350615,8.102821671670026e-05,21.776219533189966,3.899539662843891e-105,0.024227436798293377,0.2674000000000001,61377,True,False
GOOGL,5,0.007985878489472964,0.005871379668198562,0.009991718709518904,0.00010745241021967315,22.49762736243115,4.378668487212883e-112,0.03212827065568227,0.2674000000000001,61371,True,False
GOOGL,10,0.0071832901517209224,0.004945499276775195,0.009421216224518419,0.0001328633495222156,21.184454869153797,1.3285460797428043e-99,0.039726141507142466,0.2674000000000001,61356,True,False
GOOGL,20,0.004977599676817213,0.0029368678572249535,0.006810929663569628,0.00014505839877878372,17.71562585718136,3.1767447942810705e-70,0.04337246123485633,0.2674000000000001,61326,True,False
INTC,1,0.022832806873724132,0.021062672845417074,0.024759816542066677,2.2399234248408447e-07,45.43922555537684,0.0,0.0006932562999882414,0.005,65127,True,False
INTC,2,0.0168587425096971,0.015336395126928803,0.018545107488099444,2.7824781142808695e-07,38.388864363790454,2.03e-322,0.0008611769763699291,0.005,65124,True,False
INTC,3,0.011859421162271566,0.010773795049762114,0.013089029544694286,2.7501785375088664e-07,32.586670838153694,6.335281914053227e-233,0.0008511802573589941,0.005,65121,True,False
INTC,5,0.007522078031367285,0.00671940426287212,0.008287469392467528,2.687800057286558e-07,26.504088698388923,8.695639210842977e-155,0.0008312290457164406,0.005,65115,True,False
INTC,10,0.0034577590197509833,0.0028940271746605377,0.003932385727511811,2.482990815120934e-07,18.290695823398867,9.81541574172991e-75,0.0007674924609538806,0.005,65100,True,False
INTC,20,0.0013596800626435313,0.0011195187712189191,0.001578898148694388,1.9583916234051766e-07,12.201251323160992,3.060836848145637e-34,0.0006043792388990713,0.005,65070,True,False
MSFT,1,0.0089401293441852,0.007855294650847212,0.010014391507865516,6.003066620891407e-07,30.88325630969174,2.004657127412019e-209,0.0008464323935456884,0.00699999999999995,84010,True,False
MSFT,2,0.007206502102302337,0.0063778590803500596,0.008003159477821774,7.282283678768213e-07,28.506404183370186,9.757585264882912e-179,0.0010268019987063179,0.00699999999999995,84007,True,False
MSFT,3,0.0056398631671384925,0.005007465598886656,0.006406799447391578,7.887339263390292e-07,25.40713225335572,2.1033558056267927e-142,0.0011121148361380312,0.00699999999999995,84004,True,False
MSFT,5,0.004244249584050341,0.003672066085880973,0.004850484436000163,8.739166683373634e-07,22.38391777320835,5.6459461874475305e-111,0.0012322225023556825,0.00699999999999995,83998,True,False
MSFT,10,0.0026017073577833116,0.00211239178175644,0.0030909117976287313,9.900607045778673e-07,17.587968137595926,3.0460522695949683e-69,0.0013959855934547929,0.0069,83983,True,False
MSFT,20,0.0013967269553095685,0.00109506524475661,0.0017490811171928466,9.680970757770796e-07,13.579048208899398,5.33147403877971e-42,0.0013650168768456824,0.0069,83953,True,False
QQQ,1,0.008312684140722615,0.0070558645904848505,0.00965240652361247,2.542248810991884e-07,38.745086127221,0.0,0.0012881574725295876,0.006,165705,True,False
QQQ,2,0.00607509078835744,0.004956708093069506,0.007185892111405217,3.152955708371455e-07,33.55428160586209,7.797232612142911e-247,0.001597602657431816,0.006,165702,True,False
QQQ,3,0.0042369502396143455,0.0032802897682754767,0.005305455398092586,3.279595090806565e-07,28.191355643737662,7.463792718438474e-175,0.0016617708325116865,0.006,165699,True,False
QQQ,5,0.0029578922298673094,0.002123860507339126,0.0037541293097966464,3.3625450747331396e-07,23.165575737294944,1.0128597821447299e-118,0.0017038015893672818,0.006,165693,True,False
QQQ,10,0.0015800946031874208,0.000955378802385995,0.002240570848949769,3.610772790237679e-07,17.087158785251848,1.8496910545851812e-65,0.0018295785728134318,0.006,165678,True,False
