symbol,side,ll_qr_per_event,ll_poisson_per_event,ll_gain_per_event,test_events,params_qr,params_poisson,tv_qr,tv_poisson
AAPL,B,0.020500919117323053,-0.05453258335990635,0.0750335024772294,688654.0,92,4,0.3231546327061125,0.35551573126322045
AAPL,S,0.07805461300729977,0.021213352607759035,0.05684126039954073,742336.0,92,4,0.3295558220588484,0.3566453333652174
AMZN,B,-1.6034899459416527,-1.6732570167408156,0.06976707079916289,111807.0,92,4,0.11612362448939038,0.1650891431349421
AMZN,S,-1.6416941866154724,-1.761270085379316,0.11957589876384356,102971.0,92,4,0.16001013721849006,0.17891103472311515
CSCO,B,0.3723373531535801,0.3112532114554997,0.06108414169808035,638537.0,92,4,0.11515336079479926,0.2336519213592366
CSCO,S,0.19191849968721433,0.22056097798961022,-0.028642478302395885,600892.0,92,4,0.07125722465862215,0.2186255918536069
GOOGL,B,-1.0510305887443103,-1.1404478340007396,0.08941724525642925,168017.0,92,4,0.20455218847692175,0.2595380052151689
GOOGL,S,-0.7695714766594021,-0.8967476127398991,0.12717613608049705,184436.0,92,4,0.1916424513897071,0.15591927429537883
INTC,B,0.7892138069750398,0.7802633706733336,0.008950436301706222,1039274.0,92,4,0.2879718434063894,0.3868196400138367
INTC,S,0.794034531597279,0.7770626560542377,0.016971875543041248,1031750.0,92,4,0.38407334205473903,0.44543098944472764
MSFT,B,0.25783079492771005,0.09446805170630639,0.16336274322140365,861194.0,92,4,0.2290822052256158,0.27843143735251624
MSFT,S,0.2896124818919257,0.2034611260824123,0.08615135580951339,898384.0,92,4,0.2494577295708615,0.24974012604001108
QQQ,B,1.6106623828593158,1.546454613004069,0.06420776985524679,2491472.0,92,4,0.15418276337964976,0.16503764697665985
QQQ,S,1.5614201567049437,1.5069394682525694,0.054480688452374304,2411669.0,92,4,0.1857804858503259,0.15843028562028066
SPY,B,1.4639211405756858,1.3900401897720773,0.07388095080360846,2231441.0,92,4,0.177205940756723,0.24888139727793823
SPY,S,1.3940840372443581,1.326043132066595,0.06804090517776307,2133533.0,92,4,0.20002322034403547,0.25586502954727114
