symbol,h,r2,lo,hi,beta,t,p,pred_move,half_spread,n_test,significant,tradeable
AAPL,1,0.0019576101600851104,0.0010275569697524717,0.002928819750030073,6.69039547553678e-07,6.891439274535788,5.523069829153667e-12,0.0016384778519589573,0.016925,20897,True,False
AAPL,2,0.0008844821500162414,-6.0932867112828336e-05,0.0017268501674528036,8.379491868113204e-07,4.324656927626695,1.527694222688522e-05,0.0020521375585009238,0.016925,20894,True,False
AAPL,3,0.0009111177965333006,0.00011801558059236496,0.0016770343023924132,9.623521016445835e-07,4.448528973068204,8.646038792025674e-06,0.002356800296927585,0.016925,20891,True,False
AAPL,5,0.0006517023890559859,-7.700400417400276e-05,0.0014172282062465652,1.1413289931511935e-06,3.7011765031773094,0.00021460212882131865,0.002795114704227273,0.016925,20885,True,False
AAPL,10,0.0005556070479451058,7.946744563242238e-05,0.0010802785731078928,1.0979370744221035e-06,3.725545644291017,0.00019489318094060418,0.0026888478952597317,0.016925,20870,True,False
AAPL,20,0.000420274308407409,0.00011397439441831748,0.0007521014439797023,1.0088482760815686e-06,3.8084929298995798,0.00013981634329409068,0.0024677437681231273,0.016925,20840,True,False
AMZN,1,0.012446050355125915,0.008967666796361826,0.01636332427177983,3.795591204894742e-05,11.348935237721191,7.507129341549977e-30,0.03510162746286658,0.287925,6893,True,False
AMZN,2,0.0066590991323906,0.00358983311499258,0.010130597256892427,4.4538352025954996e-05,7.9838604337848,1.4182637315073872e-15,0.04115343727198242,0.287925,6890,True,False
AMZN,3,0.004181148104603127,0.0008512694884832724,0.007104906447697968,5.109425114547098e-05,5.913801570111644,3.343005922226817e-09,0.04718043150772793,0.287925,6887,True,False
AMZN,5,0.0018317004056573882,-0.0013372952644216947,0.00501326541571126,5.219643029146178e-05,3.700648309088974,0.0002150493492323775,0.048177305159019225,0.2879500000000001,6881,True,False
AMZN,10,0.000997147435114809,-0.003395152070470875,0.004256406272703405,7.310248186819471e-05,2.629965925456039,0.008539342680333123,0.06718118083687094,0.2883,6866,True,False
AMZN,20,0.0008683084689982135,-0.001189198775056477,0.0027759227530748678,5.7514763554079e-05,2.829982623190807,0.004655053232768798,0.05282731032442156,0.28905000000000003,6836,True,False
CSCO,1,0.005094711911298511,0.003663659474823744,0.006525302862853313,5.6657491493919037e-08,9.017160032803837,1.9302832210835768e-19,0.0005385804483920449,0.0052,11512,True,False
CSCO,2,0.0032021232810808264,0.0022332100614684464,0.004514569293902276,7.214728077287634e-08,6.685911889781155,2.2949107908344066e-11,0.0006855578913600256,0.0052,11509,True,False
CSCO,3,0.001437538099242186,0.0007911325278451287,0.002065737974419535,5.0392050321926844e-08,4.825029378296312,1.3998263215545988e-06,0.0004787748701086269,0.0052,11506,True,False
CSCO,5,0.0005909737485511046,0.0001655482362712346,0.0009833462856995933,4.0031717604038706e-08,3.1449560857772623,0.0016611176250243959,0.00038001308887161873,0.0052,11500,True,False
CSCO,10,0.00022352760005517336,-4.064999169333116e-05,0.000475579422077163,4.1772703204733615e-08,1.7431430694127994,0.0813086269765166,0.0003955540811862637,0.0052,11485,False,False
CSCO,20,7.622213106106557e-05,-3.2879873010271944e-05,0.0001970518734351222,2.2795328038801162e-08,1.2701184781693293,0.2040424304910428,0.00021473199012550693,0.0052,11455,False,False
GOOGL,1,0.004711960938272308,0.0007394403527610866,0.008220497431784322,4.237506795054078e-05,10.005580681587904,1.4404412654043008e-23,0.03406955463223479,0.2671,15340,True,False
GOOGL,2,0.0074466758386702026,0.0030060005211119765,0.011761743272651072,5.5584646425218816e-05,11.18796605385732,4.670237396776415e-29,0.04465670493802078,0.26710000000000006,15337,True,False
GOOGL,3,0.006684559732603068,0.0020172056102531893,0.010719589144465037,6.399885269546492e-05,10.540104962640045,5.643587550949566e-26,0.0514358779113452,0.2671125,15334,True,False
GOOGL,5,0.005333020133269972,0.0014696858517554395,0.00944558993943702,6.753837423086971e-05,9.250407748346666,2.2363789507128353e-20,0.05423331450738838,0.2671125,15328,True,False
GOOGL,10,0.0034636478861101994,-0.00018617648264102057,0.0069300815033886,7.216630215939704e-05,7.437033372260642,1.0297154424749745e-13,0.05787737433183643,0.26709999999999995,15313,True,False
